Tire Brand,Tire Size,Condition,Location,Latitude,Longitude,Pincode,Recycling Date,Tire Type,Recycling Method,Recycled Product,Recycling Facility,Tread_Depths,Odometer_Reading,Age,DOT Date Code
Michelin,205/55R16,Used,Hinjewadi,-51.270039,66.179012,72808,25-05-2023,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility A, 1/7,51000,1,DOTIJKL34562719
Goodyear,225/50R17,Used,Shivajinagar,-52.546192,-102.220996,28821,23-05-2023,Light Truck Tire (LTT),Shredding,Crumb Rubber,Facility B, 1/7,24000,1,DOTMNOP78901520
Pirelli,225/50R17,Used,Bavdhan,56.4602935,-116.355321,51859,04-05-2023,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility A,0,16500,11,DOTABCD12343523
Goodyear,225/50R17,Used,Kalyani Nagar,51.9992365,-165.1007,77760,21-04-2023,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility A, 1/6,21500,1,DOTMNOP78901520
Bridgestone,225/45R17,Used,Kharadi,69.898265,30.743635,99017,05-07-2023,Passenger Car Tire (PCT),Shredding,Crumb Rubber,Facility B,0,54000,6,DOTMNOP78901520
Goodyear,235/45R17,Scrap,Kharadi,-54.739244,71.453731,39064,17-12-2022,Passenger Car Tire (PCT),Pyrolysis,Tire-Derived Fuel,Facility B, 1/7,24000,7,DOTIJKL34562719
Pirelli,225/45R17,Scrap,Shivajinagar,-52.628164,70.591368,42923,07-02-2023,Light Truck Tire (LTT),Pyrolysis,Crumb Rubber,Facility B, 1/7,7000,9,DOTMNOP78901520
Bridgestone,235/45R17,Scrap,Kharadi,36.3675035,-7.311077,18754,27-12-2022,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility A, 1/6,54000,4,DOTEFGH90124822
Bridgestone,225/45R17,Scrap,Magarpatta City,41.7289815,-66.931831,26042,23-12-2022,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility B, 1/7,21500,3,DOTABCD12343523
Pirelli,235/45R17,Used,Hadapsar,37.8615655,16.555864,98935,23-06-2023,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility A, 1/7,4000,9,DOTMNOP78901520
Michelin,225/45R17,Used,Kothrud,-24.825735,69.777003,85959,02-05-2023,Passenger Car Tire (PCT),Shredding,Crumb Rubber,Facility B, 1/8,21500,12,DOTWXYZ56780124
Bridgestone,225/50R17,Used,Kothrud,20.46941,116.173113,7956,14-08-2023,Passenger Car Tire (PCT),Shredding,Tire-Derived Fuel,Facility A,0,7000,2,DOTMNOP78901520
Continental,225/45R17,Scrap,Hinjewadi,-12.760938,10.354745,16160,29-03-2023,Light Truck Tire (LTT),Pyrolysis,Crumb Rubber,Facility B,0,7000,12,DOTIJKL34562719
Michelin,225/50R17,Scrap,Deccan,70.610485,152.945769,87720,24-11-2022,Passenger Car Tire (PCT),Shredding,Crumb Rubber,Facility A, 1/6,24000,12,DOTABCD12343523
Bridgestone,235/45R17,Scrap,Kothrud,-56.429704,57.52367,24456,27-01-2023,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility A,0,60000,7,DOTWXYZ56780124
Michelin,235/45R17,Scrap,Kharadi,63.8655865,-140.259594,23879,18-07-2023,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility A, 1/7,4000,8,DOTIJKL34562719
Continental,215/60R16,Scrap,Bavdhan,-55.031786,164.61019,6346,18-10-2022,Light Truck Tire (LTT),Pyrolysis,Tire-Derived Fuel,Facility A, 1/8,24000,1,DOTWXYZ56780124
Continental,225/50R17,Used,Shivajinagar,25.6890805,32.77944,35050,30-01-2023,Passenger Car Tire (PCT),Pyrolysis,Tire-Derived Fuel,Facility B, 1/7,69000,8,DOTWXYZ56780124
Continental,225/45R17,Used,Kharadi,-34.380432,140.689814,4481,01-01-2023,Light Truck Tire (LTT),Pyrolysis,Tire-Derived Fuel,Facility B,0,7000,12,DOTMNOP78901520
Bridgestone,215/60R16,Used,Camp,6.962274,77.4129,21420,28-11-2022,Passenger Car Tire (PCT),Pyrolysis,Tire-Derived Fuel,Facility A, 1/7,51000,1,DOTWXYZ56780124
Pirelli,235/45R17,Scrap,Kalyani Nagar,0.59013,89.130636,36483,03-07-2023,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility B,0,51000,11,DOTIJKL34562719
Michelin,205/55R16,Scrap,Kothrud,-84.0996395,-91.863064,20904,04-03-2023,Light Truck Tire (LTT),Shredding,Crumb Rubber,Facility A,0,7000,3,DOTIJKL34562719
Michelin,215/60R16,Scrap,Hadapsar,-57.388826,-122.399547,15488,02-04-2023,Passenger Car Tire (PCT),Shredding,Tire-Derived Fuel,Facility B,0,7000,12,DOTIJKL34562719
Bridgestone,225/45R17,Scrap,Deccan,67.566961,127.638662,26947,07-01-2023,Light Truck Tire (LTT),Pyrolysis,Tire-Derived Fuel,Facility A, 1/8,7000,10,DOTMNOP78901520
Goodyear,215/60R16,Scrap,Kharadi,52.633069,50.398636,60735,17-07-2023,Passenger Car Tire (PCT),Shredding,Tire-Derived Fuel,Facility A,0,65000,9,DOTIJKL34562719
Michelin,225/50R17,Scrap,Kharadi,36.3553955,113.380788,88561,05-06-2023,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility B, 1/8,83000,3,DOTABCD12343523
Bridgestone,225/45R17,Used,Camp,-36.7613825,-102.364265,12587,19-09-2023,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility B,0,7000,12,DOTMNOP78901520
Continental,235/45R17,Scrap,Koregaon Park,0.2871845,-18.905248,65040,24-07-2023,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility B, 1/6,69000,11,DOTEFGH90124822
Bridgestone,235/45R17,Used,Bavdhan,-65.541841,153.526043,52446,30-11-2022,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility A,0,21500,11,DOTEFGH90124822
Michelin,225/45R17,Used,Aundh,-75.6882225,114.282439,49223,05-02-2023,Light Truck Tire (LTT),Pyrolysis,Crumb Rubber,Facility A, 1/6,60000,4,DOTMNOP78901520
Pirelli,205/55R16,Scrap,Kothrud,-63.12179,124.06467,4007,30-05-2023,Passenger Car Tire (PCT),Pyrolysis,Tire-Derived Fuel,Facility B, 1/6,16500,2,DOTWXYZ56780124
Bridgestone,225/45R17,Scrap,Camp,-57.0706825,-119.133588,2618,23-12-2022,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility A, 1/7,16500,4,DOTABCD12343523
Pirelli,215/60R16,Scrap,Camp,-66.2569895,156.630298,7925,25-12-2022,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility B, 1/7,7000,5,DOTIJKL34562719
Michelin,215/60R16,Used,Shivajinagar,-40.4497355,150.664306,23365,17-04-2023,Light Truck Tire (LTT),Shredding,Crumb Rubber,Facility A, 1/6,54000,3,DOTWXYZ56780124
Michelin,215/60R16,Scrap,Hadapsar,22.619992,-77.036492,40747,02-02-2023,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility B,0,51000,10,DOTIJKL34562719
Continental,225/45R17,Scrap,Vishrantwadi,-3.0916405,-119.818443,43252,22-07-2023,Passenger Car Tire (PCT),Pyrolysis,Tire-Derived Fuel,Facility A, 1/8,54000,11,DOTIJKL34562719
Continental,225/50R17,Used,Deccan,85.8562415,-86.745686,77926,13-06-2023,Light Truck Tire (LTT),Pyrolysis,Crumb Rubber,Facility A, 1/8,54000,1,DOTEFGH90124822
