Tire Brand,Tire Size,Condition,Location,Latitude,Longitude,Pincode,Recycling Date,Tire Type,Recycling Method,Recycled Product,Recycling Facility,Tread_Depths,Odometer_Reading,Age,DOT Date Code
Michelin,205/55R16,Used,Hinjewadi,18.593617,73.730133,72808,25-05-2023,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility A, 1/7,51000,1,DOTIJKL34562719
Goodyear,225/50R17,Used,Shivajinagar,20.11784,79.029121,28821,23-05-2023,Light Truck Tire (LTT),Shredding,Crumb Rubber,Facility B, 1/7,24000,1,DOTMNOP78901520
Pirelli,225/50R17,Used,Bavdhan,18.54085,73.76065,51859,4/5/2023,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility A,0,16500,11,DOTABCD12343523
Goodyear,225/50R17,Used,Kalyani Nagar,18.5481,73.9033,77760,21-04-2023,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility A, 1/6,21500,1,DOTMNOP78901520
Bridgestone,225/45R17,Used,Kharadi,18.550985,73.934982,99017,5/7/2023,Passenger Car Tire (PCT),Shredding,Crumb Rubber,Facility B,0,54000,6,DOTMNOP78901520
Goodyear,235/45R17,Scrap,Kharadi,18.550985,73.934982,39064,17-12-2022,Passenger Car Tire (PCT),Pyrolysis,Tire-Derived Fuel,Facility B, 1/7,24000,7,DOTIJKL34562719
Pirelli,225/45R17,Scrap,Shivajinagar,20.11784,79.029121,42923,7/2/2023,Light Truck Tire (LTT),Pyrolysis,Crumb Rubber,Facility B, 1/7,7000,9,DOTMNOP78901520
Bridgestone,235/45R17,Scrap,Kharadi,18.550985,73.934982,18754,27-12-2022,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility A, 1/6,54000,4,DOTEFGH90124822
Bridgestone,225/45R17,Scrap,Magarpatta City,18.515806,73.927164,26042,23-12-2022,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility B, 1/7,21500,3,DOTABCD12343523
Pirelli,235/45R17,Used,Hadapsar,18.496668,73.941666,98935,23-06-2023,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility A, 1/7,4000,9,DOTMNOP78901520
Michelin,225/45R17,Used,Kothrud,18.50625,73.81486,85959,2/5/2023,Passenger Car Tire (PCT),Shredding,Crumb Rubber,Facility B, 1/8,21500,12,DOTWXYZ56780124
Bridgestone,225/50R17,Used,Kothrud,18.50625,73.81486,7956,14-08-2023,Passenger Car Tire (PCT),Shredding,Tire-Derived Fuel,Facility A,0,7000,2,DOTMNOP78901520
Continental,225/45R17,Scrap,Hinjewadi,18.593617,73.730133,16160,29-03-2023,Light Truck Tire (LTT),Pyrolysis,Crumb Rubber,Facility B,0,7000,12,DOTIJKL34562719
Michelin,225/50R17,Scrap,Deccan,17,77,87720,24-11-2022,Passenger Car Tire (PCT),Shredding,Crumb Rubber,Facility A, 1/6,24000,12,DOTABCD12343523
