Tire Brand,Tire Size,Condition,Location,Latitude,Longitude,Pincode,Recycling Date,Tire Type,Recycling Method,Recycled Product,Recycling Facility
Pirelli,205/55R16,Scrap,Camp,56.9859665,-30.997455,51963,2023-02-20,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility B
Bridgestone,235/45R17,Scrap,Hadapsar,-52.3095815,21.398243,32981,2023-05-18,Passenger Car Tire (PCT),Shredding,Crumb Rubber,Facility A
Michelin,225/45R17,Scrap,Bavdhan,49.1969785,-83.376329,17304,2023-08-17,Light Truck Tire (LTT),Pyrolysis,Tire-Derived Fuel,Facility A
Continental,215/60R16,Scrap,Camp,43.6357015,175.955909,14272,2023-03-09,Passenger Car Tire (PCT),Shredding,Crumb Rubber,Facility A
Michelin,225/45R17,Used,Kalyani Nagar,14.153327,-129.664401,31266,2023-05-11,Passenger Car Tire (PCT),Shredding,Tire-Derived Fuel,Facility B
Michelin,205/55R16,Scrap,Kharadi,85.894043,23.851660,19889,2023-08-03,Passenger Car Tire (PCT),Pyrolysis,Tire-Derived Fuel,Facility A
Pirelli,215/60R16,Used,Bavdhan,84.6799965,132.485428,27737,2023-05-17,Passenger Car Tire (PCT),Pyrolysis,Tire-Derived Fuel,Facility A
Goodyear,225/45R17,Used,Hadapsar,-78.651515,132.704646,59582,2022-11-17,Light Truck Tire (LTT),Pyrolysis,Crumb Rubber,Facility A
Bridgestone,215/60R16,Used,Vishrantwadi,40.2868085,125.473702,22331,2022-10-10,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility A
Pirelli,205/55R16,Scrap,Vishrantwadi,-5.590672,-175.740846,33142,2023-01-02,Light Truck Tire (LTT),Pyrolysis,Crumb Rubber,Facility B
Michelin,205/55R16,Scrap,Hinjewadi,-60.8789185,-87.403939,45161,2023-01-23,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility A
Michelin,215/60R16,Used,Aundh,-71.195377,-53.323138,73433,2022-10-01,Passenger Car Tire (PCT),Shredding,Tire-Derived Fuel,Facility A
Bridgestone,225/45R17,Scrap,Kothrud,-9.199422,-126.673533,00780,2022-11-06,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility B
Goodyear,215/60R16,Scrap,Aundh,53.949692,-16.940573,04504,2022-10-22,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility A
Pirelli,215/60R16,Scrap,Aundh,-71.1127845,34.624837,25268,2023-06-11,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility B
Goodyear,215/60R16,Used,Camp,-35.0032805,-116.849757,17345,2023-01-05,Light Truck Tire (LTT),Pyrolysis,Tire-Derived Fuel,Facility B
Goodyear,225/50R17,Scrap,Aundh,16.4037625,141.108988,83761,2023-01-29,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility A
Goodyear,225/50R17,Scrap,Vishrantwadi,77.7131305,164.213032,30106,2023-04-29,Passenger Car Tire (PCT),Shredding,Tire-Derived Fuel,Facility B
Continental,205/55R16,Used,Koregaon Park,-86.377012,-78.616764,36631,2023-08-29,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility B
Bridgestone,225/50R17,Used,Shivane,28.8448675,30.783436,31172,2022-12-30,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility B
Goodyear,215/60R16,Used,Hinjewadi,-51.741289,-72.561995,67380,2023-07-07,Light Truck Tire (LTT),Pyrolysis,Crumb Rubber,Facility A
Michelin,225/45R17,Scrap,Koregaon Park,-61.091489,73.598830,13736,2023-03-24,Passenger Car Tire (PCT),Pyrolysis,Tire-Derived Fuel,Facility B
Bridgestone,225/45R17,Used,Hinjewadi,-63.104637,-1.204225,69986,2023-05-16,Light Truck Tire (LTT),Shredding,Crumb Rubber,Facility B
Continental,205/55R16,Used,Kalyani Nagar,75.847078,22.950947,59416,2023-05-05,Passenger Car Tire (PCT),Shredding,Crumb Rubber,Facility B
Michelin,215/60R16,Used,Kharadi,-80.6875495,-154.532062,67951,2023-05-26,Passenger Car Tire (PCT),Shredding,Tire-Derived Fuel,Facility A
Bridgestone,225/50R17,Scrap,Kharadi,-41.044711,-8.056306,48139,2022-11-23,Light Truck Tire (LTT),Pyrolysis,Crumb Rubber,Facility A
Bridgestone,225/50R17,Used,Aundh,72.8145455,-39.988335,47587,2022-12-17,Light Truck Tire (LTT),Shredding,Crumb Rubber,Facility B
Goodyear,225/50R17,Scrap,Kalyani Nagar,51.0170125,155.274279,71598,2023-07-09,Passenger Car Tire (PCT),Shredding,Crumb Rubber,Facility B
Goodyear,225/50R17,Used,Vishrantwadi,53.740279,-162.063990,88228,2022-11-27,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility B
Pirelli,215/60R16,Scrap,Hinjewadi,-1.539598,-8.999076,36610,2022-12-28,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility A
Bridgestone,235/45R17,Scrap,Shivane,13.3304255,-85.246206,65536,2022-12-24,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility A
Bridgestone,205/55R16,Used,Hadapsar,9.0534975,-74.076583,03285,2023-08-24,Passenger Car Tire (PCT),Shredding,Crumb Rubber,Facility A
Goodyear,205/55R16,Used,Hinjewadi,38.4019125,-134.560774,13408,2023-05-27,Light Truck Tire (LTT),Shredding,Crumb Rubber,Facility A
Michelin,205/55R16,Used,Magarpatta City,-25.125392,8.488451,17156,2023-02-26,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility B
Bridgestone,225/50R17,Used,Hadapsar,56.9202615,57.877408,82532,2023-03-05,Passenger Car Tire (PCT),Shredding,Tire-Derived Fuel,Facility B
Bridgestone,215/60R16,Used,Hadapsar,-30.070671,104.163174,22971,2023-06-05,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility A
Michelin,205/55R16,Used,Magarpatta City,9.941635,-54.029682,33313,2023-03-30,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility B
Pirelli,225/45R17,Used,Vishrantwadi,-89.4705805,-112.779396,87900,2023-07-08,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility A
Michelin,215/60R16,Scrap,Hadapsar,12.4998765,153.991808,62682,2022-12-18,Passenger Car Tire (PCT),Shredding,Tire-Derived Fuel,Facility A
Bridgestone,235/45R17,Used,Shivajinagar,-37.0462385,-101.578719,43749,2023-02-09,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility A
Bridgestone,225/45R17,Scrap,Shivajinagar,61.148423,143.994770,63706,2022-09-28,Passenger Car Tire (PCT),Shredding,Crumb Rubber,Facility B
Bridgestone,215/60R16,Used,Deccan,-11.5777205,106.839356,29661,2022-10-15,Light Truck Tire (LTT),Shredding,Tire-Derived Fuel,Facility A
Pirelli,215/60R16,Scrap,Koregaon Park,30.3590955,35.942561,59718,2023-01-09,Passenger Car Tire (PCT),Pyrolysis,Tire-Derived Fuel,Facility A
Bridgestone,235/45R17,Used,Hinjewadi,-1.705120,108.847726,90212,2023-09-21,Passenger Car Tire (PCT),Pyrolysis,Crumb Rubber,Facility B
